gen1,gen2,score
SIGMAR1,PSEN1,0.37
SIGMAR1,SQSTM1,0.383
SIGMAR1,OPTN,0.45
SIGMAR1,MATR3,0.456
SIGMAR1,CHCHD10,0.519
SIGMAR1,VCP,0.522
SIGMAR1,UBQLN2,0.545
SIGMAR1,VAPB,0.712
GLE1,VAPB,0.327
GLE1,UBQLN2,0.36
GLE1,CHCHD10,0.416
GLE1,TIA1,0.423
GLE1,MATR3,0.425
GLE1,HNRNPA2B1,0.634
GLE1,HNRNPA1,0.681
PSEN1,CHCHD10,0.307
PSEN1,TBK1,0.362
PSEN1,OPTN,0.369
PSEN1,VAPB,0.371
PSEN1,TRPM7,0.44
PSEN1,SQSTM1,0.479
PSEN1,VCP,0.489
PSEN1,UBQLN2,0.7
PSEN1,TREM2,0.853
PSEN1,MAPT,0.95
TBK1,TREM2,0.347
TBK1,TIA1,0.363
TBK1,HNRNPA1,0.406
TBK1,MAPT,0.452
TBK1,CCNF,0.474
TBK1,VAPB,0.523
TBK1,MATR3,0.531
TBK1,CHCHD10,0.608
TBK1,VCP,0.692
TBK1,HNRNPA2B1,0.77
TBK1,UBQLN2,0.797
TBK1,CYLD,0.969
TBK1,SQSTM1,0.995
TBK1,OPTN,0.999
ANG,HNRNPA1,0.302
ANG,MATR3,0.347
ANG,VCP,0.355
ANG,VAPB,0.39
ANG,UBQLN2,0.402
ANG,OPTN,0.474
MAPT,MATR3,0.354
MAPT,VAPB,0.368
MAPT,TRPM7,0.394
MAPT,CHCHD10,0.472
MAPT,OPTN,0.474
MAPT,HNRNPA2B1,0.589
MAPT,UBQLN2,0.653
MAPT,HNRNPA1,0.667
MAPT,VCP,0.713
MAPT,TREM2,0.733
MAPT,SQSTM1,0.838
MAPT,TIA1,0.878
HNRNPA1,SQSTM1,0.459
HNRNPA1,VAPB,0.488
HNRNPA1,CHCHD10,0.507
HNRNPA1,OPTN,0.514
HNRNPA1,VCP,0.692
HNRNPA1,TIA1,0.716
HNRNPA1,UBQLN2,0.852
HNRNPA1,MATR3,0.95
HNRNPA1,HNRNPA2B1,0.998
UBQLN2,TREM2,0.323
UBQLN2,CYLD,0.382
UBQLN2,ANXA11,0.457
UBQLN2,TIA1,0.645
UBQLN2,HNRNPA2B1,0.657
UBQLN2,CCNF,0.665
UBQLN2,CHCHD10,0.706
UBQLN2,VAPB,0.743
UBQLN2,MATR3,0.758
UBQLN2,SQSTM1,0.794
UBQLN2,VCP,0.938
UBQLN2,OPTN,0.954
HNRNPA2B1,CHCHD10,0.392
HNRNPA2B1,VAPB,0.402
HNRNPA2B1,OPTN,0.408
HNRNPA2B1,SQSTM1,0.512
HNRNPA2B1,VCP,0.679
HNRNPA2B1,TIA1,0.716
HNRNPA2B1,MATR3,0.888
VCP,TREM2,0.396
VCP,ANXA11,0.429
VCP,TIA1,0.483
VCP,CHCHD10,0.714
VCP,CCNF,0.759
VCP,MATR3,0.776
VCP,VAPB,0.789
VCP,OPTN,0.805
VCP,SQSTM1,0.884
TREM2,OPTN,0.317
TREM2,SQSTM1,0.323
TREM2,CHCHD10,0.36
OPTN,ANXA11,0.347
OPTN,TIA1,0.368
OPTN,CCNF,0.472
OPTN,MATR3,0.598
OPTN,CHCHD10,0.647
OPTN,VAPB,0.799
OPTN,CYLD,0.938
OPTN,SQSTM1,0.994
SQSTM1,TIA1,0.4
SQSTM1,MATR3,0.55
SQSTM1,CHCHD10,0.615
SQSTM1,VAPB,0.66
SQSTM1,CCNF,0.701
SQSTM1,CYLD,0.979
MATR3,ANXA11,0.41
MATR3,VAPB,0.611
MATR3,CCNF,0.64
MATR3,CHCHD10,0.736
MATR3,TIA1,0.741
CCNF,TIA1,0.328
CCNF,VAPB,0.431
CCNF,ANXA11,0.449
CCNF,CHCHD10,0.621
CHCHD10,TIA1,0.425
CHCHD10,ANXA11,0.455
CHCHD10,VAPB,0.604
ANXA11,TIA1,0.349
ANXA11,VAPB,0.375
